Unnamed: 8,Unnamed: 9,reclamo_ano,reclamo_cantidad,reclamo_mes_nombre,reclamo_mes_nro,reclamo_origen,reclamo_prestadora,reclamo_sede_enargas,reclamo_tipo
,,2019,1,Enero,1,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,4,Enero,1,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Medio electronico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Santa Rosa,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Correo Postal,GASNOR S.A.,Centro Regional Tucuman,II  - Inconvenientes con el suministro de gas
,,2019,8,Enero,1,Telefonico,GASNOR S.A.,Centro Regional Tucuman,II  - Inconvenientes con el suministro de gas
,,2019,5,Enero,1,Medio electronico,GASNOR S.A.,Centro Regional Tucuman,I   - Facturacion y Gestion de Deudas
,,2019,11,Enero,1,Correo Postal,GASNOR S.A.,Centro Regional Tucuman,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Personal,GASNOR S.A.,Centro Regional Tucuman,I   - Facturacion y Gestion de Deudas
,,2019,26,Enero,1,Medio electronico,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,53,Enero,1,Telefonico,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,2,Enero,1,Personal,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,26,Enero,1,Medio electronico,GAS NATURAL BAN S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,2,Enero,1,Telefonico,GAS NATURAL BAN S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,6,Enero,1,Personal,GAS NATURAL BAN S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,11,Enero,1,Medio electronico,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,3,Enero,1,Correo Postal,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,3,Enero,1,Personal,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,5,Enero,1,Telefonico,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,1,Enero,1,Correo Postal,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,25,Enero,1,Personal,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,71,Enero,1,Telefonico,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,37,Enero,1,Medio electronico,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,9,Enero,1,Correo Postal,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,3,Enero,1,Telefonico,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,14,Enero,1,Personal,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,3,Enero,1,Correo Postal,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,28,Enero,1,Medio electronico,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,1,Enero,1,Correo Postal,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,37,Enero,1,Medio electronico,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,21,Enero,1,Personal,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,11,Enero,1,Telefonico,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,8,Enero,1,Correo Postal,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Bahia Blanca,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Bahia Blanca,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,3,Febrero,2,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,3,Febrero,2,Correo Postal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,3,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,2,Febrero,2,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,2,Febrero,2,Medio electronico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Personal,CARLOS PAZ GAS S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Medio electronico,CARLOS PAZ GAS S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,12,Febrero,2,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Medio electronico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Personal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,9,Febrero,2,Medio electronico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,4,Febrero,2,Telefonico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,21,Febrero,2,Personal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Correo Postal,GAS NEA S.A.,Centro Regional Concordia,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Medio electronico,REDENGAS S.A.,Centro Regional Concordia,II  - Inconvenientes con el suministro de gas
,,2019,4,Febrero,2,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,III - Gestion de Prestaciones
,,2019,1,Febrero,2,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,4,Febrero,2,Medio electronico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,4,Febrero,2,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,10,Febrero,2,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,I   - Facturacion y Gestion de Deudas
,,2019,4,Febrero,2,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,13,Febrero,2,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Correo Postal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,III - Gestion de Prestaciones
,,2019,1,Febrero,2,Correo Postal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,15,Febrero,2,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,6,Febrero,2,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,8,Febrero,2,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Telefonico,GRUPO SERVICIO JUNIN S.A.,Centro Regional La Plata,I   - Facturacion y Gestion de Deudas
,,2019,4,Febrero,2,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,2,Febrero,2,Medio electronico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Telefonico,COMPANIA DE GAS DE LA COSTA S.A.,Centro Regional Mar Del Plata,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Personal,COOPERATIVA BATAN DE OBRAS Y SERVICIOS PUBLICOS LTDA.,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Personal,COOPERATIVA DE PROVISION DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS LTDA. PUEBLO CAMET,Centro Regional Mar Del Plata,I   - Facturacion y Gestion de Deudas
,,2019,2,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Rio Grande,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Rio Grande,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Medio electronico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Rio Grande,II  - Inconvenientes con el suministro de gas
,,2019,6,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Rio Grande,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Medio electronico,COOP. OBRAS Y SERV. PUB.Y ASISTENCIALES DE VIVIENDA DE CARCARANA LTDA,Centro Regional Rosario,I   - Facturacion y Gestion de Deudas
,,2019,2,Febrero,2,Telefonico,LITORAL GAS S.A.,Centro Regional Rosario,II  - Inconvenientes con el suministro de gas
,,2019,3,Febrero,2,Personal,LITORAL GAS S.A.,Centro Regional Rosario,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Medio electronico,LITORAL GAS S.A.,Centro Regional Rosario,II  - Inconvenientes con el suministro de gas
,,2019,4,Febrero,2,Telefonico,LITORAL GAS S.A.,Centro Regional Rosario,I   - Facturacion y Gestion de Deudas
,,2019,3,Febrero,2,Personal,LITORAL GAS S.A.,Centro Regional Rosario,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Medio electronico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional San Juan,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Santa Rosa,II  - Inconvenientes con el suministro de gas
,,2019,4,Febrero,2,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Santa Rosa,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Santa Rosa,III - Gestion de Prestaciones
,,2019,1,Febrero,2,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Santa Rosa,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Santa Rosa,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Sur,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Sur,II  - Inconvenientes con el suministro de gas
,,2019,1,Febrero,2,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Sur,III - Gestion de Prestaciones
,,2019,1,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Sur,III - Gestion de Prestaciones
,,2019,1,Febrero,2,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Sur,I   - Facturacion y Gestion de Deudas
,,2019,5,Febrero,2,Telefonico,GASNOR S.A.,Centro Regional Tucuman,II  - Inconvenientes con el suministro de gas
,,2019,15,Febrero,2,Correo Postal,GASNOR S.A.,Centro Regional Tucuman,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Personal,GASNOR S.A.,Centro Regional Tucuman,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Telefonico,GASNOR S.A.,Centro Regional Tucuman,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Correo Postal,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,27,Febrero,2,Medio electronico,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Personal,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,96,Febrero,2,Telefonico,GAS NATURAL BAN S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,15,Febrero,2,Medio electronico,GAS NATURAL BAN S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,5,Febrero,2,Telefonico,GAS NATURAL BAN S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,3,Febrero,2,Personal,GAS NATURAL BAN S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,2,Febrero,2,Personal,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,13,Febrero,2,Telefonico,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,1,Febrero,2,Correo Postal,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,13,Febrero,2,Medio electronico,GAS NATURAL BAN S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,11,Febrero,2,Personal,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,135,Febrero,2,Telefonico,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,83,Febrero,2,Medio electronico,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,2,Febrero,2,Correo Postal,METROGAS S.A.,Sede Central,II  - Inconvenientes con el suministro de gas
,,2019,10,Febrero,2,Personal,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,11,Febrero,2,Telefonico,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,3,Febrero,2,Correo Postal,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,32,Febrero,2,Medio electronico,METROGAS S.A.,Sede Central,III - Gestion de Prestaciones
,,2019,17,Febrero,2,Personal,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,8,Febrero,2,Telefonico,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,5,Febrero,2,Correo Postal,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,25,Febrero,2,Medio electronico,METROGAS S.A.,Sede Central,I   - Facturacion y Gestion de Deudas
,,2019,1,Marzo,3,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Bahia Blanca,III - Gestion de Prestaciones
,,2019,1,Marzo,3,Telefonico,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Bahia Blanca,I   - Facturacion y Gestion de Deudas
,,2019,2,Marzo,3,Personal,CAMUZZI GAS PAMPEANA S.A.,Centro Regional Bahia Blanca,I   - Facturacion y Gestion de Deudas
,,2019,2,Marzo,3,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,1,Marzo,3,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,II  - Inconvenientes con el suministro de gas
,,2019,3,Marzo,3,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,III - Gestion de Prestaciones
,,2019,1,Marzo,3,Telefonico,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,2,Marzo,3,Personal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,2,Marzo,3,Correo Postal,CAMUZZI GAS DEL SUR S.A.,Centro Regional Bariloche,I   - Facturacion y Gestion de Deudas
,,2019,3,Marzo,3,Correo Postal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,1,Marzo,3,Medio electronico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,2,Marzo,3,Telefonico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,2,Marzo,3,Personal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,1,Marzo,3,Correo Postal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,II  - Inconvenientes con el suministro de gas
,,2019,2,Marzo,3,Medio electronico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,III - Gestion de Prestaciones
,,2019,1,Marzo,3,Telefonico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,III - Gestion de Prestaciones
,,2019,1,Marzo,3,Correo Postal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,III - Gestion de Prestaciones
,,2019,1,Marzo,3,Telefonico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,11,Marzo,3,Personal,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,13,Marzo,3,Medio electronico,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,Centro Regional Centro,I   - Facturacion y Gestion de Deudas
,,2019,1,Marzo,3,Correo Postal,GAS NEA S.A.,Centro Regional Concordia,I   - Facturacion y Gestion de Deudas
,,2019,1,Marzo,3,Medio electronico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,2,Marzo,3,Personal,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
,,2019,2,Marzo,3,Telefonico,DISTRIBUIDORA DE GAS CUYANA S.A.,Centro Regional Cuyo,II  - Inconvenientes con el suministro de gas
