reclamo_año,reclamo_mes_nro,reclamo_mes_nombre,reclamo_sede_enargas,reclamo_prestadora,reclamo_tipo,reclamo_origen,reclamo_cantidad
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,7
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,6
2018,1,Enero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Personal,7
2018,1,Enero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,1
2018,1,Enero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,2
2018,1,Enero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,3
2018,1,Enero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,1,Enero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Personal,4
2018,1,Enero,Centro Regional Mar Del Plata,COMPAÑÍA DE GAS DE LA COSTA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,1,Enero,Centro Regional Mar Del Plata,COMPAÑÍA DE GAS DE LA COSTA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Noroeste,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,1,Enero,Centro Regional Noroeste,GASNOR S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,1,Enero,Centro Regional Río Grande,CAMUZZI GAS DEL SUR S.A.,III - Gestión de Prestaciones,Personal,3
2018,1,Enero,Centro Regional Río Grande,CAMUZZI GAS DEL SUR S.A.,III - Gestión de Prestaciones,Medio electrónico,1
2018,1,Enero,Centro Regional Rosario,FIRMAT GAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Rosario,LITORAL GAS S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,1,Enero,Centro Regional Rosario,LITORAL GAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,5
2018,1,Enero,Centro Regional Rosario,LITORAL GAS S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,1,Enero,Centro Regional Rosario,LITORAL GAS S.A.,I   - Facturación y Gestión de Deudas,Personal,2
2018,1,Enero,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,3
2018,1,Enero,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Personal,1
2018,1,Enero,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,1
2018,1,Enero,Centro Regional Santa Rosa,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Sur,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Sur,HIDENESA,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Trelew,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Centro Regional Trelew,CAMUZZI GAS DEL SUR S.A.,III - Gestión de Prestaciones,Personal,1
2018,1,Enero,Centro Regional Tucumán,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,8
2018,1,Enero,Centro Regional Tucumán,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,1,Enero,Centro Regional Tucumán,GASNOR S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,1,Enero,Centro Regional Tucumán,GASNOR S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,2
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,44
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,21
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Medio electrónico,24
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Correo Postal,3
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Personal,2
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,6
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,1
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,1,Enero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Telefónico,11
2018,1,Enero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,64
2018,1,Enero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Personal,18
2018,1,Enero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,4
2018,1,Enero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,48
2018,1,Enero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Correo Postal,6
2018,1,Enero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Medio electrónico,26
2018,1,Enero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Personal,3
2018,1,Enero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Telefónico,2
2018,1,Enero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,20
2018,1,Enero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,8
2018,1,Enero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Personal,9
2018,1,Enero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Telefónico,8
2018,2,Febrero,Centro Regional Bahía Blanca,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,2,Febrero,Centro Regional Bahía Blanca,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,2,Febrero,Centro Regional Bariloche,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,2,Febrero,Centro Regional Bariloche,CAMUZZI GAS DEL SUR S.A.,I   - Facturación y Gestión de Deudas,Telefónico,3
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Personal,3
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,8
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,4
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,III - Gestión de Prestaciones,Medio electrónico,1
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,III - Gestión de Prestaciones,Personal,2
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,4
2018,2,Febrero,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Personal,5
2018,2,Febrero,Centro Regional Concordia,GAS NEA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,2,Febrero,Centro Regional Concordia,GAS NEA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,1
2018,2,Febrero,Centro Regional Concordia,REDENGAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,3
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,12
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Personal,4
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Personal,1
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Correo Postal,1
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Telefónico,6
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Personal,6
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,7
2018,2,Febrero,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,1
2018,2,Febrero,Centro Regional Cuyo,SBD GAS DEL SUR S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,2,Febrero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,11
2018,2,Febrero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,2,Febrero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Telefónico,2
2018,2,Febrero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,5
2018,2,Febrero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,2
2018,2,Febrero,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,2,Febrero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,1
2018,2,Febrero,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,2,Febrero,Centro Regional Mar Del Plata,COMPAÑÍA DE GAS DE LA COSTA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,2
2018,2,Febrero,Centro Regional Río Grande,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,2,Febrero,Centro Regional Rosario,COOPERATIVA LIMITADA DE SERVICIOS PÚBLICOS Y SOCIALES DE PÉREZ-COOPESER,III - Gestión de Prestaciones,Telefónico,1
2018,2,Febrero,Centro Regional Rosario,LITORAL GAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,4
2018,2,Febrero,Centro Regional Rosario,LITORAL GAS S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,2,Febrero,Centro Regional Rosario,LITORAL GAS S.A.,I   - Facturación y Gestión de Deudas,Personal,4
2018,2,Febrero,Centro Regional Rosario,LITORAL GAS S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,2,Febrero,Centro Regional Rosario,SBD COOPERATIVA SETÚBAL LTDA.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,2,Febrero,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Personal,4
2018,2,Febrero,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Personal,1
2018,2,Febrero,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,2,Febrero,Centro Regional Santa Rosa,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,2
2018,2,Febrero,Centro Regional Sur,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,2
2018,2,Febrero,Centro Regional Trelew,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,2,Febrero,Centro Regional Tucumán,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,5
2018,2,Febrero,Centro Regional Tucumán,GASNOR S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,1
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,1
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,21
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,83
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Telefónico,3
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Personal,1
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Medio electrónico,17
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,III - Gestión de Prestaciones,Correo Postal,1
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Telefónico,34
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,2
2018,2,Febrero,Sede Central,GAS NATURAL BAN S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,9
2018,2,Febrero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,45
2018,2,Febrero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,2
2018,2,Febrero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,61
2018,2,Febrero,Sede Central,METROGAS S.A.,II  - Inconvenientes con el suministro de gas,Personal,12
2018,2,Febrero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Personal,8
2018,2,Febrero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Telefónico,3
2018,2,Febrero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Correo Postal,8
2018,2,Febrero,Sede Central,METROGAS S.A.,III - Gestión de Prestaciones,Medio electrónico,20
2018,2,Febrero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Telefónico,10
2018,2,Febrero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,9
2018,2,Febrero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,7
2018,2,Febrero,Sede Central,METROGAS S.A.,I   - Facturación y Gestión de Deudas,Personal,6
2018,3,Marzo,Centro Regional Bahía Blanca,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,2
2018,3,Marzo,Centro Regional Bahía Blanca,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,3,Marzo,Centro Regional Bariloche,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,3,Marzo,Centro Regional Bariloche,CAMUZZI GAS DEL SUR S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,3,Marzo,Centro Regional Bariloche,CAMUZZI GAS DEL SUR S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,3,Marzo,Centro Regional Bariloche,COOPETEL LTDA.,I   - Facturación y Gestión de Deudas,Telefónico,2
2018,3,Marzo,Centro Regional Centro,COOPERATIVA DE OBRAS, SERVICIOS PÚBLICOS Y SOCIALES DE HERNANDO LTDA.,II  - Inconvenientes con el suministro de gas,Correo Postal,1
2018,3,Marzo,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,2
2018,3,Marzo,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Personal,3
2018,3,Marzo,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,3
2018,3,Marzo,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,2
2018,3,Marzo,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Telefónico,2
2018,3,Marzo,Centro Regional Centro,DISTRIBUIDORA DE GAS DEL CENTRO S.A.,I   - Facturación y Gestión de Deudas,Personal,3
2018,3,Marzo,Centro Regional Centro,EMPRESA MUNICIPAL DE GAS SA (EMUGAS),I   - Facturación y Gestión de Deudas,Correo Postal,1
2018,3,Marzo,Centro Regional Concordia,GAS NEA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,1
2018,3,Marzo,Centro Regional Concordia,GAS NEA S.A.,III - Gestión de Prestaciones,Medio electrónico,1
2018,3,Marzo,Centro Regional Concordia,GAS NEA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,1
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,4
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,20
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Telefónico,11
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,III - Gestión de Prestaciones,Personal,3
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,8
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,1
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,3
2018,3,Marzo,Centro Regional Cuyo,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Personal,8
2018,3,Marzo,Centro Regional Cuyo,ENERGÍA SAN LUIS GAS,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,16
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,12
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Medio electrónico,2
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,8
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,5
2018,3,Marzo,Centro Regional La Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Personal,5
2018,3,Marzo,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,2
2018,3,Marzo,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,2
2018,3,Marzo,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,3,Marzo,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,III - Gestión de Prestaciones,Personal,1
2018,3,Marzo,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Personal,2
2018,3,Marzo,Centro Regional Mar Del Plata,CAMUZZI GAS PAMPEANA S.A.,I   - Facturación y Gestión de Deudas,Telefónico,1
2018,3,Marzo,Centro Regional Noroeste,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,1
2018,3,Marzo,Centro Regional Noroeste,GASNOR S.A.,I   - Facturación y Gestión de Deudas,Medio electrónico,2
2018,3,Marzo,Centro Regional Río Grande,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Personal,1
2018,3,Marzo,Centro Regional Río Grande,CAMUZZI GAS DEL SUR S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,3,Marzo,Centro Regional Rosario,LITORAL GAS S.A.,II  - Inconvenientes con el suministro de gas,Personal,2
2018,3,Marzo,Centro Regional Rosario,LITORAL GAS S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,5
2018,3,Marzo,Centro Regional Rosario,LITORAL GAS S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,3,Marzo,Centro Regional Rosario,LITORAL GAS S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,3,Marzo,Centro Regional Rosario,LITORAL GAS S.A.,I   - Facturación y Gestión de Deudas,Telefónico,2
2018,3,Marzo,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Medio electrónico,2
2018,3,Marzo,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,II  - Inconvenientes con el suministro de gas,Personal,2
2018,3,Marzo,Centro Regional San Juan,DISTRIBUIDORA DE GAS CUYANA S.A.,I   - Facturación y Gestión de Deudas,Personal,1
2018,3,Marzo,Centro Regional Santa Rosa,CAMUZZI GAS PAMPEANA S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,2
2018,3,Marzo,Centro Regional Sur,CAMUZZI GAS DEL SUR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,2
2018,3,Marzo,Centro Regional Tucumán,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Telefónico,12
2018,3,Marzo,Centro Regional Tucumán,GASNOR S.A.,II  - Inconvenientes con el suministro de gas,Correo Postal,1
2018,3,Marzo,Centro Regional Tucumán,GASNOR S.A.,III - Gestión de Prestaciones,Telefónico,1
2018,3,Marzo,Centro Regional Tucumán,GASNOR S.A.,I   - Facturación y Gestión de Deudas,Correo Postal,1
